categorie,question,reponse,conseil
Coton,prix du coton 2025,"Prix officiel 2024-2025 : 325 FCFA/kg (1er choix), 300 FCFA/kg (2e choix). Paiement janvier-février 2026.","Vérifie toujours le taux d'humidité au groupement avant livraison."
Coton,combien le coton cette année,325 FCFA/kg en 1er choix – prix garanti SOFITEX.,"Ne vends jamais en dessous, attends le paiement officiel."
Coton,prix coton bio,375 FCFA/kg pour le coton biologique (certifié Ecocert).,"Demande le cahier des charges à la coopérative."
Coton,quand semer le coton,Semis du 15 mai au 15 juillet selon la région.,"Centre/Est/Ouest : dès mi-mai. Sahel : attendre bonnes pluies début juillet."
Coton,variété coton 2025,"STAM 89A (haut rendement), FK37 (résistante fusariose), Irma P10.","Bt toujours interdit au Burkina."
Coton,chenille sur coton,"Puceron ou jasside : savon noir + neem ou Acetamiprid (Mospilan) 100 g/ha.","Pulvérise tôt le matin."
Coton,mouche capsule coton,"Surveiller fin septembre → Cyperméthrine + Profénofos.","Traitement SOFITEX gratuit sur signalement."
Coton,credit coton sofitex,"Taux 8 %, jusqu’à 10 millions FCFA, remboursement à la récolte.","Inscris-toi à la coopérative avant le 30 avril."
Céréales,prix mais 2025,"Maïs décembre 2025 : 160–190 FCFA/kg selon région.","À Ouaga souvent 175 FCFA."
Céréales,prix sorgho,"Sorgho blanc 150–180 FCFA/kg, sorgho rouge brasserie jusqu’à 200 FCFA/kg.","Vise la brasserie pour meilleur prix."
Céréales,prix niebe,"Niébé : 350–450 FCFA/kg en décembre.","Très demandé au Niger."
Céréales,prix sesame,"Sésame blanc : 900–1 100 FCFA/kg.","Acheteurs chinois et turcs."
Sol,comment proteger mon sol,"Zaï + 300 g fumier + micro-dose (2 g NPK + 1 g urée) par trou.","Le meilleur investissement du paysan."
Sol,quand faire le zai,"Creuse dès décembre-janvier pour profiter des premières pluies.","80 000–120 000 FCFA/ha la première année."
Sol,cordon pierreux,"Tous les 20–25 mètres en courbes de niveau.","Réduit le ruissellement de 70 %."
Sol,demi lune taille,"1 m diamètre, 20 cm profondeur.","800 à 1 000 demi-lunes/ha."
Sol,biochar,"10 tonnes/ha une seule fois → retient l’eau 10 ans.","Fais-le avec la paille de riz."
Président,discours président agriculture,"« Un peuple qui ne produit pas sa nourriture est esclave. » – Capitaine Ibrahim Traoré.","Vision souveraineté alimentaire 2025-2030."
Président,traore dit quoi,"« L’agriculture est notre arme contre la faim et l’impérialisme. »","Discours du 28 septembre 2025."
Président,vdp agriculture,"« Le VDP qui cultive est plus utile que celui qui porte seulement le fusil. »","Plus de 23 000 VDP agricoles en 2025."
Engrais,subvention engrais 2025,"16 000 FCFA/sac 50 kg (NPK et Urée). Subvention 10,979 milliards FCFA.","Priorité femmes et jeunes."
Engrais,engrais combien sac,"16 355 FCFA/sac officiel.","Ne paye jamais plus !"
Sac PICS,sac pics prix,"1 500 FCFA au lieu de 3 000 FCFA (subvention femmes/jeunes).","Zéro charançon 18 mois."
Sac PICS,comment stocker mais,"Sac PICS + séchage < 13 % humidité.","Grains cassent net entre les dents = prêt."
Élevage,bœufs maigrissent,"Vermifuge tous les 3 mois : Albendazole ou Ivermectine 1 ml/50 kg.","Bloc à lécher aussi."
Élevage,poulet tousse,"Maladie de Newcastle → vaccin La Sota ou Nobilis dès 1 semaine.","500 FCFA les 100 doses."
Élevage,mouton gale,"Ivermectine injectable + badigeon Amitraz.","En 15 jours plus rien."
Élevage,vache avorte,"Brucellose ou toxoplasmose → analyse LNERV Kamboinsin.","10 000 FCFA l’analyse."
Élevage,engraisser bœuf,"Tourteau coton + son maïs + urée + sel = +100 kg en 90 jours.","Vente Tabaski 800 000 FCFA."
Élevage,aliment poulet maison,"Maïs 60 % + tourteau arachide 20 % + son + coquille huître + prémix.","2,5 kg en 45 jours."
Élevage,porc peste,"Déclaration obligatoire → vaccin gratuit en foyer.","Appelle le vétérinaire immédiatement."
Élevage,parc betail,"Clôture vive Gliricidia + 4 fils barbelés + abreuvoir ciment.","1,5 million FCFA/ha."
Élevage,fumier parc,"10 tonnes/ha après 3 mois → 400 000 FCFA de revenu en plus.","Laisse mûrir 2 mois avant épandage."
Élevage,vaccin obligatoire betail,"PPR, charbon, fièvre aphteuse – campagne gratuite janvier-février.","Le vétérinaire passe village par village."
Coton,prix du coton 2025,"Prix officiel 2024-2025 : 325 FCFA/kg (1er choix), 300 FCFA/kg (2e choix). Paiement janvier-février 2026.","Ne vends jamais en dessous, attends le paiement officiel SOFITEX."
Coton,prix coton cette annee,"325 FCFA/kg en 1er choix – prix garanti par l’État.","Vérifie toujours le taux d’humidité avant livraison."
Coton,combien le coton,"325 FCFA/kg – c’est le prix bord-champ officiel.","Refuse les acheteurs qui proposent moins."
Coton,prix coton bio,375 FCFA/kg pour le coton biologique certifié.,"Demande le cahier des charges à la coopérative."
Coton,quand semer le coton,"Semis du 15 mai au 15 juillet selon la région.","Centre/Est/Ouest dès mi-mai, Sahel attendre bonnes pluies début juillet."
Coton,date semis coton sahel,"Attends les pluies de juillet, jamais avant le 20 juin.","Sinon tu perds tout."
Coton,variete coton 2025,"STAM 89A (très haut rendement), FK37 (résistante fusariose), Irma P10.","Bt toujours interdit au Burkina."
Coton,meilleure variete coton,"STAM 89A fait 3,5 à 4 tonnes/ha avec zaï.","Demande à la coopérative."
Coton,chenille sur coton,"Puceron/jasside : savon noir + neem ou Mospilan 100 g/ha.","Pulvérise tôt le matin."
Coton,mouche capsule coton,"Surveiller fin septembre → Cyperméthrine + Profénofos.","Traitement gratuit sur signalement SOFITEX."
Coton,fusariose coton,"Rotation 3-4 ans + semences FK37 + Apron Star.","Ne replante jamais coton sur coton."
Coton,credit coton sofitex,"Taux 8 %, jusqu’à 10 millions, remboursement à la récolte.","Inscris-toi avant le 30 avril."
Céréales,prix mais decembre 2025,"Maïs : 160–190 FCFA/kg selon région.","À Ouaga souvent 175 FCFA."
Céréales,prix sorgho,"Sorgho blanc 150–180 FCFA/kg, sorgho rouge brasserie jusqu’à 200 FCFA/kg.","Vise la brasserie pour meilleur prix."
Céréales,prix niebe,"Niébé : 350–450 FCFA/kg en ce moment.","Très demandé au Niger."
Céréales,prix sesame,"Sésame blanc : 900–1 100 FCFA/kg.","Acheteurs chinois et turcs."
Céréales,prix arachide,"Arachide décortiquée 800–950 FCFA/kg.","En coque : 400–500 FCFA/kg."
Céréales,prix fonio,"Fonio : 140–170 FCFA/kg.","Plus cher au Sahel."
Céréales,prix riz local,"Riz local : 350–400 FCFA/kg.","Import interdit."
Sol,comment proteger mon sol,"Zaï + 300 g fumier + micro-dose (2 g NPK + 1 g urée) par trou.","Le meilleur investissement du paysan."
Sol,quand faire le zai,"Creuse dès décembre-janvier pour profiter des premières pluies.","80 000–120 000 FCFA/ha la première année."
Sol,cordon pierreux distance,"Tous les 20–25 mètres en courbes de niveau.","Réduit le ruissellement de 70 %."
Sol,demi lune combien,"800 à 1 000 demi-lunes/ha.","1 m de diamètre, 20 cm profondeur."
Sol,biochar comment faire,"Paille de riz + feu couvert → charbon noir. 10 tonnes/ha une fois.","Retient l’eau 10 ans."
Sol,compost rapide,"Fumier + tiges + urée + eau → retourne toutes les 2 semaines.","Prêt en 2 mois."
Sol,micro dose engrais,"2 g NPK + 1 g urée par trou de zaï → 10 000 FCFA/ha.","Double le rendement."
Président,discours president agriculture,"« Un peuple qui ne produit pas sa nourriture est esclave. » – Capitaine Ibrahim Traoré.","Vision souveraineté alimentaire."
Président,traore dit quoi,"« L’agriculture est notre arme contre la faim et l’impérialisme. »","28 septembre 2025."
Président,vdp agriculture,"« Le VDP qui cultive est plus utile que celui qui porte seulement le fusil. »","23 000 VDP agricoles en 2025."
Engrais,subvention engrais 2025,"16 000 FCFA/sac 50 kg (NPK et Urée).","Subvention 10,979 milliards FCFA."
Engrais,engrais combien sac,"16 355 FCFA/sac officiel.","Ne paye jamais plus !"
Sac PICS,sac pics prix,"1 500 FCFA au lieu de 3 000 FCFA (subvention femmes/jeunes).","Zéro charançon 18 mois."
Sac PICS,comment stocker mais,"Sac PICS + séchage < 13 % humidité.","Grains cassent net entre les dents = prêt."
Élevage,bœufs maigrissent,"Vermifuge tous les 3 mois : Albendazole ou Ivermectine 1 ml/50 kg.","Bloc à lécher aussi."
Élevage,poulet tousse,"Maladie de Newcastle → vaccin La Sota ou Nobilis dès 1 semaine.","500 FCFA les 100 doses."
Élevage,mouton gale,"Ivermectine injectable + badigeon Amitraz.","En 15 jours plus de gale."
Élevage,vache avorte,"Brucellose ou toxoplasmose → analyse LNERV Kamboinsin.","10 000 FCFA l’analyse."
Élevage,engraisser bœuf,"Tourteau coton + son maïs + urée + sel = +100 kg en 90 jours.","Vente Tabaski 800 000 FCFA."
Élevage,aliment poulet maison,"Maïs 60 % + tourteau arachide 20 % + son + coquille huître + prémix.","2,5 kg en 45 jours."
Élevage,porc peste,"Déclaration obligatoire → vaccin gratuit en foyer.","Appelle le vétérinaire immédiatement."
Élevage,parc betail cout,"1,5 million FCFA/ha avec clôture vive et abreuvoir.","Commence par 20 ares si tu n’as pas beaucoup."
Élevage,fumier parc valeur,"10 tonnes/ha après 3 mois → 400 000 FCFA de revenu en plus.","Laisse mûrir 2 mois avant épandage."
Élevage,vaccin obligatoire betail,"PPR, charbon, fièvre aphteuse – campagne gratuite janvier-février.","Le vétérinaire passe village par village."
Élevage,prix mouton tabaski,"Mouton engraissé 150 000 – 250 000 FCFA.","Bœuf 600 000 – 1 million FCFA."
Crédit,credit tracteur,"50 % subvention → tracteur 90 CV à 12 millions.","Priorité jeunes <35 ans."
Crédit,credit pompe solaire,"9 % sur 5 ans via Ecobank ou Coris.","70 % subvention pour jeunes."
Crédit,credit coton montant,"Jusqu’à 10 millions FCFA par producteur.","Remboursement janvier-février."
